voteId,title,url,date,time,turnout,govWins,jacqui_lambie,glenn_lazarus,david_leyonhjelm,john_madigan,ricky_muir,nick_xenophon,dio_wang,bob_day
3434,Committees - Certain Aspects of Queensland Government Administration - Speed up consideration of motion,https://theyvoteforyou.org.au/divisions/senate/2014-09-23/4,2014-09-23,6:10 PM,81.6,gov_loses,labor,labor,government,government,labor,government,labor,government
3435,Committees - Certain Aspects of Queensland Government Administration - Include Bligh Government in inquiry,https://theyvoteforyou.org.au/divisions/senate/2014-09-23/5,2014-09-23,6:15 PM,81.6,gov_wins,labor,labor,government,government,labor,government,labor,government
3438,National Security Legislation Amendment Bill (No. 1) 2014 - Second Reading - Independent oversight of Australia's intelligence services,https://theyvoteforyou.org.au/divisions/senate/2014-09-24/1,2014-09-24,10:53 AM,72.4,gov_wins,government,government,greens,greens,government,greens,government,greens
3439,Motions — East West Link,https://theyvoteforyou.org.au/divisions/senate/2014-09-24/2,2014-09-24,4:03 PM,65.8,gov_wins,government,government,government,absent,government,absent,government,government
3440,Regulations and Determinations — Fair Work Amendment (Protected Industrial Action) Regulation 2014; Disallowance,https://theyvoteforyou.org.au/divisions/senate/2014-09-24/3,2014-09-24,6:34 PM,85.5,gov_wins,government,government,government,labor,government,labor,government,government
3441,Committees — East West Link,https://theyvoteforyou.org.au/divisions/senate/2014-09-25/1,2014-09-25,12:14 PM,78.9,gov_loses,labor,labor,labor,absent,labor,absent,labor,government
3442,National Security Legislation Amendment Bill (No. 1) 2014 - in Committee - End debate on whether to limit ASIO's access to devices,https://theyvoteforyou.org.au/divisions/senate/2014-09-25/2,2014-09-25,1:41 PM,88.2,gov_wins,government,government,labor,absent,government,absent,government,government
3443,National Security Legislation Amendment Bill (No. 1) 2014 - In Committee - Limit number of devices ASIO can access,https://theyvoteforyou.org.au/divisions/senate/2014-09-25/3,2014-09-25,1:53 PM,82.9,gov_wins,government,government,greens,absent,government,government,government,government
3444,National Security Legislation Amendment Bill (No. 1) 2014 - in Committee - Limit access to computers to extent necessary,https://theyvoteforyou.org.au/divisions/senate/2014-09-25/4,2014-09-25,,73.7,gov_wins,government,government,greens,greens,government,greens,government,greens
3445,National Security Legislation Amendment Bill (No. 1) 2014 - in Committee - Remove secrecy provisions,https://theyvoteforyou.org.au/divisions/senate/2014-09-25/5,2014-09-25,,63.2,gov_wins,government,government,greens,greens,government,greens,government,government
